desc_struttura_erogazione,desc_ats_erogazione,desc_ente,ID_erogatore,LAT,LONG_
POLIAMBULATORIO (O.S.C.B.),ATS DELLA CITTA' METROPOLITANA DI MILANO,ASST SANTI PAOLO E CARLO,2,45.46917,9.11407
POLIAMBULATORIO VIA STROMBOLI,ATS DELLA CITTA' METROPOLITANA DI MILANO,ASST NORD MILANO,18,45.45859,9.157931
FISIOKINESITERAPIA CREMA S.R.L. - RIABILITA,ATS DELLA VAL PADANA,ATS DELLA VAL PADANA,23,45.36011,9.68213
C.S.R. SRL - POLIAMBULATORIO SPECIAL.,ATS DELLA CITTA' METROPOLITANA DI MILANO,ATS DELLA CITTA' METROPOLITANA DI MILANO,46,,
POLIAMBULATORIO  SEGRATE,ATS DELLA CITTA' METROPOLITANA DI MILANO,ASST MELEGNANO E DELLA MARTESANA,58,45.49952,9.28515
POLIAMB. CLINICA ZUCCHI-MONZA,ATS DELLA BRIANZA,ATS DELLA BRIANZA,59,45.58591,9.27223
EUROMEDICA IST.SCIENTIFICO SRL,ATS DELLA CITTA' METROPOLITANA DI MILANO,ATS DELLA CITTA' METROPOLITANA DI MILANO,63,45.48091,9.173288
POLIAMB.CLIN.ZUCCHI BRUGHERIO,ATS DELLA BRIANZA,ATS DELLA BRIANZA,64,45.54941,9.301891
MEDICARE SRL,ATS DELLA CITTA' METROPOLITANA DI MILANO,ATS DELLA CITTA' METROPOLITANA DI MILANO,67,,
POLIAMBULATORIO VIA MARCONI,ATS DI BRESCIA,ASST DEGLI SPEDALI CIVILI DI BRESCIA,75,45.55313,10.22577
C.D.C. NEW,ATS DELL'INSUBRIA,ATS DELL'INSUBRIA,85,,
"FERB ONLUS - OSPEDALE """"S. ISIDORO""""",ATS DI BERGAMO,ATS DI BERGAMO,89,45.69211,9.841331
POLIAMBULATORIO VIA FARINI,ATS DELLA CITTA' METROPOLITANA DI MILANO,ASST NORD MILANO,90,45.48448,9.181637
POLIAMBULATORIO - MANTOVA,ATS DELLA VAL PADANA,ASST DI MANTOVA,93,45.14526,10.780904
AMB ISTITUTO CLINICO S.AMBROGIO SPA,ATS DELLA CITTA' METROPOLITANA DI MILANO,ATS DELLA CITTA' METROPOLITANA DI MILANO,98,,
CLINICA POLISP SAN CARLO POLIAMBULATORIO NOVATE MILANESE,ATS DELLA CITTA' METROPOLITANA DI MILANO,ATS DELLA CITTA' METROPOLITANA DI MILANO,102,45.53154,9.137019
"""""LE TERRAZZE"""" (AMBULATORIO)",ATS DELL'INSUBRIA,ATS DELL'INSUBRIA,110,45.81559,8.83099
POLIAMB. OSP.NIGUARDA,ATS DELLA CITTA' METROPOLITANA DI MILANO,ASST GRANDE OSPEDALE METROPOLITANO NIGUARDA,114,45.50626,9.1883
HABILTA SAN MARCO BERGAMO,ATS DI BERGAMO,ATS DI BERGAMO,117,45.88435,9.954544
"CASA DI CURA """"S.CLEMENTE""""",ATS DELLA VAL PADANA,ATS DELLA VAL PADANA,118,45.14707,10.77125
CENTRO DIAGNOSTICA MEDA,ATS DELLA BRIANZA,ATS DELLA BRIANZA,122,45.65151,9.134995
POLIAMBULATORIO VIA GOLA,ATS DELLA CITTA' METROPOLITANA DI MILANO,ASST NORD MILANO,127,45.44899,9.173992
CLINICA POLISP SAN CARLO POLIAMB CALDERARA,ATS DELLA CITTA' METROPOLITANA DI MILANO,ATS DELLA CITTA' METROPOLITANA DI MILANO,129,45.57149,9.19439
POLIAMBULATORIO DI SUZZARA (MN),ATS DELLA VAL PADANA,ATS DELLA VAL PADANA,131,44.98679,10.752124
POLIAMBULATORIO SPECIALISTICO,ATS DELLA CITTA' METROPOLITANA DI MILANO,ASST MELEGNANO E DELLA MARTESANA,132,,
"OSPEDALE """"E. MORELLI"""" - SONDALO",ATS DELLA MONTAGNA,ASST DELLA VALTELLINA E DELL'ALTO LARIO,134,46.33266,10.33407
POLIAMBUL.VLE MONTEROSA-VARESE,ATS DELL'INSUBRIA,ASST DEI SETTE LAGHI,136,45.81764,8.81707
ISTITUTO RISANA S.A.S.,ATS DELL'INSUBRIA,ATS DELL'INSUBRIA,138,45.5944,9.231922
POLIAMBULATORIO V.LE A.DORIA,ATS DELLA CITTA' METROPOLITANA DI MILANO,ASST NORD MILANO,139,45.48585,9.21506
"OSPEDALE """"C. CANTU'""""",ATS DELLA CITTA' METROPOLITANA DI MILANO,ASST OVEST MILANESE,140,45.39512,8.914327
POLIAMBULATORIO V.CORSICA BS,ATS DI BRESCIA,ASST DEGLI SPEDALI CIVILI DI BRESCIA,142,45.52997,10.20743
POLIAMBULATORIO CUSANO MILANINO,ATS DELLA CITTA' METROPOLITANA DI MILANO,ASST NORD MILANO,145,45.55304,9.186759
POLIAMBULATORIO RAPHAEL - LAUDATO SÌ,ATS DI BRESCIA,ATS DI BRESCIA,149,45.46399,10.59347
VILLA ESPERIA MILANO SPA,ATS DELLA CITTA' METROPOLITANA DI MILANO,ATS DELLA CITTA' METROPOLITANA DI MILANO,151,45.49562,9.113735
POLIAMBULATORIO RUGABELLA,ATS DELLA CITTA' METROPOLITANA DI MILANO,ASST NORD MILANO,156,45.45902,9.189172
POLIAMB. MEDICA - BIANALISI SPA,ATS DELLA CITTA' METROPOLITANA DI MILANO,ATS DELLA CITTA' METROPOLITANA DI MILANO,157,,
