OBJECTID,NOME STRUTTURA,DESCRIZIONE,TIPO ATTIVITA',TIPO STRUTTURA,PRONTO SOCCORSO,PRONTO SOCCORSO PEDIATRICO,PUNTO DI PRIMO INTERVENTO,STRUTTURA  ACCREDITATA,INDIRIZZO,CAP,COMUNE,PROVINCIA,CODICE ATS,ATS,CODICE ASST,ASST,CODICE DISTRETTO SANITARIO,DISTRETTO SANITARIO,N° TELEFONO,LATITUDINE,LONGITUDINE
1,SRP3 - C.P.B. COMUNITA LE VELE - LA FENICE,COMUNITA' PROTETTA PSICHIATRICA BASSA PROTEZIONE,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA LUIGI CAGNOLA,25,20069,VAPRIO D'ADDA,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030708,ASST MELEGNANO E DELLA MARTESANA,826,TREZZO,3316798360,45.57896,9.52251
2,LABORATORIO ANALISI CLINICHE TORINO,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA TORINO,51,20123,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030703,ASST FATEBENEFRATELLI SACCO,808,MUNICIPIO 1,02862781,45.4608126,9.1844592
3,COM. TERAP. "A STEFANO CASATI",SERVIZI RESIDENZIALI E SEMIRESIDENZIALI AREA DIPENDENZE,ASSISTENZA TOSSICODIPENDENZA,PRIVATA,N/A,N/A,N/A,SI,CASCINA VECCHIA SCAMOZZA,20080,ALBAIRATE,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030705,ASST OVEST MILANESE,801,ABBIATEGRASSO,029406219,45.42061,8.93313
4,LABORATORIO ANALISI CLINICHE DELTA,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIALE TOSCANA,35/37,20089,ROZZANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030708,ASST MELEGNANO E DELLA MARTESANA,824,ROZZANO,0257514104,45.3802085,9.1691679
5,TOMA ADVANCED BIOMEDICAL ASSAYS SPA,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA BALDASSARE OLTROCCHI,11,20137,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030703,ASST FATEBENEFRATELLI SACCO,812,MUNICIPIO 4,0254100396,45.4557646,9.2191767
6,ECOTERM SRL,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA GIUSEPPE FINZI,4,20161,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030701,ASST GRANDE OSPEDALE METROPOLITANO NIGUARDA,810,MUNICIPIO 9,0266220653,45.5145791,9.1738878
7,FLEMING RESEARCH - CERBA HC S.R.L.,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA SAN CARLO BORROMEO,30,20081,ABBIATEGRASSO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030705,ASST OVEST MILANESE,801,ABBIATEGRASSO,0292956436,45.3998344,8.9184173
8,SPAZIO MEDICO SRL,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA POMPEO LITTA,66,20045,LAINATE,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030706,ASST RHODENSE,823,RHO,0293790029,45.5720509,9.0324353
9,CENTRO BENEDETTA D'INTINO ONLUS,TERAPEUTICO-RIABILITATIVA NEUROPSICHIATRIA INFANTILE,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PRIVATA,N/A,N/A,N/A,SI,VIA GIUSEPPE SERCOGNANI,17,20156,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030703,ASST FATEBENEFRATELLI SACCO,809,MUNICIPIO 8,0239263940,45.5001545,9.1505582
10,MEDITEL CENTRO MEDICO POLISPEC.,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA VINCENZO ALLIATA,1,21047,SARONNO,VA,030322,ATS DELL'INSUBRIA,030711,ASST DELLA VALLE OLONA,837,SARONNO,02/962821,45.631087,9.030078
11,STABIL.TERMALE BOARIO TERME,CENTRO DI ASSISTENZA IDROTERMALE,ASSSITENZA IDROTERMALE,PRIVATA,N/A,N/A,N/A,SI,VIALE IGEA,3,25047,DARFO BOARIO TERME,BS,030323,ATS DELLA MONTAGNA,030714,ASST DELLA VALCAMONICA,849,VALLECAMONICA-SEBINO,0364525011,45.89289398,10.1878004
12,BORMIO TERME SPA,CENTRO DI ASSISTENZA IDROTERMALE,ASSSITENZA IDROTERMALE,PRIVATA,N/A,N/A,N/A,SI,VIA STELVIO,14,23032,BORMIO,SO,030323,ATS DELLA MONTAGNA,030713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,843,BORMIO,0342901325,46.4700501,10.3693873
13,TERME DI ANGOLO TERME,CENTRO DI ASSISTENZA IDROTERMALE,ASSSITENZA IDROTERMALE,PRIVATA,N/A,N/A,N/A,SI,VIALE DELLE TERME,51,25040,ANGOLO TERME,BS,030323,ATS DELLA MONTAGNA,030714,ASST DELLA VALCAMONICA,849,VALLECAMONICA-SEBINO,3292852005,45.8940736,10.1485843
14,C.P.B.P. CASA ALLOGGIO LA BREVA 2,COMUNITA' PROTETTA PSICHIATRICA BASSA PROTEZIONE,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA GIUSEPPE MAZZINI,40/A,23017,MORBEGNO,SO,030323,ATS DELLA MONTAGNA,030713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,846,MORBEGNO,0342652239,46.14611,9.58713
15,LABORATORIO ANALISI C.GOLGI,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIALE ALCIDE DE GASPERI,2 B/C,25047,DARFO BOARIO TERME,BS,030323,ATS DELLA MONTAGNA,030714,ASST DELLA VALCAMONICA,849,VALLECAMONICA-SEBINO,0364532740,45.8900263,10.188078
16,STRUTT.AMB.F.FAORO PRATA C.,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA SPLUGA,35,23020,PRATA CAMPORTACCIO,SO,030323,ATS DELLA MONTAGNA,030713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,844,CHIAVENNA,034320190,46.2833893,9.3937261
17,SYNLAB MONZA,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA MARTIRI DELLE FOIBE,1,20900,MONZA,MB,030324,ATS DELLA BRIANZA,030716,ASST DI MONZA,855,MONZA,0392397800,45.595147,9.2502516
18,CENTRO DIAGNOSTICO PASTEUR,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA CARLO PORTA,6/8,20813,BOVISIO-MASCIAGO,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,852,DESIO,0362594183,45.60979636,9.14745138
19,CASA DI ENRICA,COMUNITA' PROTETTA PSICHIATRICA BASSA PROTEZIONE,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA GUIDO GOZZANO,9,20900,MONZA,MB,030324,ATS DELLA BRIANZA,030716,ASST DI MONZA,855,MONZA,0392103609,45.57242,9.26199
20,LABORATORIO ANALLISI MEDICHE G.B.MORGAGNI SRL,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA GENERALE ARMANDO DIAZ,3/C,20834,NOVA MILANESE,MB,030324,ATS DELLA BRIANZA,030717,ASST DELLA BRIANZA,852,DESIO,0362365053,45.59449,9.1986526
21,COMUNITA' EMMAUS - CASA S.MICHELE,CENTRO MALATTIE INFETTIVE,ASSISTENZA MALATTIE INFETTIVE,PRIVATA,N/A,N/A,N/A,SI,VIA GENERALE GIOVANNI MARIENI,36,24129,BERGAMO,BG,030325,ATS DI BERGAMO,030718,ASST PAPA GIOVANNI XXIII,859,BERGAMO,035261215,45.71002,9.6327
22,TERME DI TRESCORE SPA,CENTRO DI ASSISTENZA IDROTERMALE,ASSSITENZA IDROTERMALE,PRIVATA,N/A,N/A,N/A,SI,VIA ANTONIO GRAMSCI,SNC,24069,TRESCORE BALNEARIO,BG,030325,ATS DI BERGAMO,030720,ASST DI BERGAMO EST,861,EST PROVINCIA,0354255511,45.6817757,9.8331992
