"NOME_STRUT","DS_ATS","DS_ASST","COMUNE","PROV","LAT","LONG_","ID_struttura","original","ID_erogatore","check","n","ID_group"
"OSPEDALE CARLO MIRA - CASORATE PRIMO-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMB. OSP CASORATE)","ATS DI PAVIA","ASST DI PAVIA","CASORATE PRIMO","PV",45.31227,9.01901,3229,"POLIAMB. OSP CASORATE",1,TRUE,1,1
"""OSPEDALE PIO XI""-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMBULATORIO P.O. DESIO)","ATS DELLA BRIANZA","ASST DELLA BRIANZA","DESIO","MB",45.62730342,9.19792733,3348,"POLIAMBULATORIO P.O. DESIO",3,TRUE,1,1
"OSPEDALE CIVICO - CODOGNO-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (OSP. CIV. CODOGNO AMB. DIAGN.)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST DI LODI","CODOGNO","LO",45.1597873,9.7116618,2836,"OSP. CIV. CODOGNO AMB. DIAGN.",4,TRUE,1,1
"PRESIDIO OSPEDALIERO DI CREMONA-RIABILITAZIONE SPECIALISTICA-1-AMBULATORIO PRINCIPALE-1 (POLIAMB. A.O.IST.OSPIT.CREMONA)","ATS DELLA VAL PADANA","ASST DI CREMONA","CREMONA","CR",45.14241,10.01521,2994,"POLIAMB. A.O.IST.OSPIT.CREMONA",5,TRUE,1,1
"STRUTTURA RICOVERO E CURA DI MORBEGNO-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMBULATORIO OSP. MORBEGNO)","ATS DELLA MONTAGNA","ASST DELLA VALTELLINA E DELL'ALTO LARIO","MORBEGNO","SO",46.13389,9.57433,3199,"POLIAMBULATORIO OSP. MORBEGNO",6,TRUE,1,1
"POLICLINICO S. DONATO S.P.A.-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (I.R.C.C.S. POLICLINICO SAN DONATO)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST MELEGNANO E DELLA MARTESANA","SAN DONATO MILANESE","MI",45.41258753,9.27532214,3032,"I.R.C.C.S. POLICLINICO SAN DONATO",8,TRUE,1,1
"CENTRO DI RIABILITAZIONE E. SPALENZA - FONDAZIONE DON CARLO GNOCCHI ONLUS-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (CENTRO DI RIAB. E. SPALENZA - FOND. DON GNOCCHI)","ATS DI BRESCIA","ASST DELLA FRANCIACORTA","ROVATO","BS",45.565042,9.997406,3267,"CENTRO DI RIAB. E. SPALENZA - FOND. DON GNOCCHI",9,TRUE,1,1
"PO DI VIZZOLO PREDABISSI - CASSANO D'ADDA (STAB DI VIZZOLO)-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (OSPEDALE PREDABISSI)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST MELEGNANO E DELLA MARTESANA","VIZZOLO PREDABISSI","MI",45.35964,9.33984,2757,"OSPEDALE PREDABISSI",10,TRUE,1,1
"PRESIDIO OSPEDALIERO DI MELZO-GORGONZOLA (STAB DI GORGONZOLA)-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (P.O. SERBELLONI)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST MELEGNANO E DELLA MARTESANA","GORGONZOLA","MI",45.53461,9.41287,2828,"P.O. SERBELLONI",11,TRUE,1,1
"OSPEDALE SAN PAOLO-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMBULATORIO OSP. SAN PAOLO)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST SANTI PAOLO E CARLO","MILANO","MI",45.4334686,9.1580283,3552,"POLIAMBULATORIO OSP. SAN PAOLO",12,TRUE,1,1
"PRESIDIO OSPEDALIERO DI MONTICHIARI-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMBUL. P.O.MONTICHIARI)","ATS DI BRESCIA","ASST DEL GARDA","MONTICHIARI","BS",45.41061,10.40651,2544,"POLIAMBUL. P.O.MONTICHIARI",13,TRUE,1,1
"OSPEDALE LUIGI SACCO-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (OSPEDALE L. SACCO - MILANO)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST FATEBENEFRATELLI SACCO","MILANO","MI",45.5175295,9.1201895,3626,"OSPEDALE L. SACCO - MILANO",14,TRUE,1,1
"OSPEDALE  ""G.SALVINI""-POLIAMBULATORIO-1 (POLIAMB.OSPEDALE GARBAGNATE)","ATS DELLA CITTA' METROPOLITANA DI MILANO","ASST RHODENSE","GARBAGNATE MILANESE","MI",45.58117,9.09089,89,"POLIAMB.OSPEDALE GARBAGNATE",15,TRUE,1,1
